DATASET;%TRAININGDATA;%DEFECTTRAIN;%DEFECTTEST;CLASSIFIER;TP;FP;TN;FN;PRECISION;RECALL;ROC;KAPPA
AVRO UNDERSAMPLED RUN ;0.007690399;0.483870968;0.642857143;CostSensitiveThreshold IBK;3;0;5;6;1;0.333333333;0.666666667;0.26316
AVRO UNDERSAMPLED RUN ;0.011163483;0.533333333;0.6;CostSensitiveLearning RandomForest;2;0;6;7;1;0.222222222;0.703703704;0.18605
AVRO UNDERSAMPLED RUN ;0.011163483;0.533333333;0.6;CostSensitiveThreshold RandomForest;2;0;6;7;1;0.222222222;0.611111111;0.18605
AVRO UNDERSAMPLED RUN ;0.014884644;0.55;0.692307692;NaiveBayes;2;0;4;7;1;0.222222222;0.611111111;0.14953
AVRO UNDERSAMPLED RUN ;0.014884644;0.55;0.692307692;CostSensitiveLearning RandomForest;2;0;4;7;1;0.222222222;0.902777778;0.14953
AVRO UNDERSAMPLED RUN ;0.014884644;0.55;0.692307692;CostSensitiveThreshold RandomForest;3;0;4;6;1;0.333333333;0.666666667;0.23529
AVRO UNDERSAMPLED RUN ;0.014884644;0.55;0.692307692;CostSensitiveLearning NaiveBayes;2;0;4;7;1;0.222222222;0.611111111;0.14953
AVRO UNDERSAMPLED RUN ;0.014884644;0.55;0.692307692;CostSensitiveThreshold NaiveBayes;2;0;4;7;1;0.222222222;0.611111111;0.14953
AVRO UNDERSAMPLED RUN ;0.01810965;0.575342466;0.6;CostSensitiveLearning RandomForest;5;0;6;4;1;0.555555556;0.907407407;0.50000
AVRO UNDERSAMPLED RUN ;0.01810965;0.575342466;0.6;CostSensitiveThreshold RandomForest;4;0;6;5;1;0.444444444;0.722222222;0.39024
AVRO UNDERSAMPLED RUN ;0.021830811;0.579545455;0.5;CostSensitiveLearning RandomForest;2;0;9;7;1;0.222222222;0.530864198;0.22222
AVRO UNDERSAMPLED RUN ;0.021830811;0.579545455;0.5;CostSensitiveThreshold RandomForest;2;0;9;7;1;0.222222222;0.611111111;0.22222
AVRO UNDERSAMPLED RUN ;0.026296204;0.566037736;0.434782609;NaiveBayes;3;0;13;7;1;0.3;0.788461538;0.32636
AVRO UNDERSAMPLED RUN ;0.026296204;0.566037736;0.434782609;IBK;1;0;13;9;1;0.1;0.55;0.11159
